timestamp,trigger_reason,symbol,quantity,pnl,net_pnl,entry_price,exit_price,exit_reason,trend_state,duration_seconds,max_price,entry_slippage,exit_slippage,trading_mode,date
2025-12-12 15:17:58.987526,Trend_Continuation_Opt_PE,NIFTY25D1626050PE,1275,446.25,178.83,75.39999999999999,75.75,End of Day Auto-Square Off,BEARISH,0.987526,75.75,0.0,0.0,Paper Trading,2025-12-12
2025-12-12 15:14:37.347277,Trend_Continuation_Opt_CE,NIFTY25D1626050CE,1200,540.0,264.38,83.05,83.5,Momentum Loss (0.54% profit),BULLISH,3.347277,83.5,0.0,0.0,Paper Trading,2025-12-12
2025-12-12 15:12:01.638705,RedGreen_Cont_CE,NIFTY25D1626050CE,1125,-2306.25,-2570.34,85.89999999999999,83.85,Momentum Loss (-0.47% profit),BULLISH,28.638705,85.89999999999999,0.0,0.0,Paper Trading,2025-12-12
2025-12-12 15:10:24.791849,Trend_Continuation_Opt_CE,NIFTY25D1626050CE,1125,562.5,295.67,85.14999999999999,85.65,Momentum Loss (0.59% profit),BULLISH,2.791849,85.95,0.0,-0.2,Paper Trading,2025-12-12
2025-12-12 15:08:08.608599,RedGreen_Cont_CE,NIFTY25D1626050CE,1125,-56.25,-323.1,85.55,85.5,Momentum Loss (-0.06% profit),BULLISH,8.608599,86.1,0.0,0.0,Paper Trading,2025-12-12
2025-12-12 15:07:02.148664,RedGreen_Cont_CE,NIFTY25D1626050CE,1125,-225.0,-490.93,85.3,85.1,Momentum Loss (-0.41% profit),BULLISH,2.148664,85.45,0.0,0.0,Paper Trading,2025-12-12
2025-12-12 15:06:10.233333,RedGreen_Cont_CE,NIFTY25D1626050CE,1125,787.5,524.29,83.6,84.3,Momentum Loss (0.84% profit),BULLISH,8.233333,84.45,0.0,0.0,Paper Trading,2025-12-12
2025-12-12 15:05:17.560820,Trend_Continuation_Opt_CE,NIFTY25D1626050CE,1200,1500.0,1225.42,82.1,83.35,Momentum Loss (1.52% profit),BULLISH,2.56082,83.55,0.0,0.35,Paper Trading,2025-12-12
2025-12-12 15:01:03.153150,RedGreen_Cont_CE,NIFTY25D1626050CE,1200,480.0,206.12,82.44999999999999,82.85,Trailing SL Hit,BULLISH,2.15315,84.2,0.0,0.0,Paper Trading,2025-12-12
2025-12-12 15:00:05.948615,RedGreen_Cont_CE,NIFTY25D1626050CE,1200,2400.0,2126.7,81.1,83.1,Trailing SL Hit,BULLISH,4.948615,85.35,0.0,0.0,Paper Trading,2025-12-12
2025-12-12 14:59:17.976283,Trend_Continuation_Opt_CE,NIFTY25D1626050CE,1200,1620.0,1354.68,78.64999999999999,80.0,Momentum Loss (1.72% profit),BULLISH,7.976283,80.25,0.0,0.0,Paper Trading,2025-12-12
2025-12-12 14:57:06.517142,RedGreen_Cont_CE,NIFTY25D1626050CE,1200,540.0,269.86,81.05,81.5,Momentum Loss (0.62% profit),BULLISH,4.517142,81.85,0.0,-0.05,Paper Trading,2025-12-12
2025-12-12 14:56:06.558428,RedGreen_Cont_CE,NIFTY25D1626050CE,1200,720.0,453.68,79.55,80.15,Momentum Loss (0.75% profit),BULLISH,5.558428,80.25,0.0,0.0,Paper Trading,2025-12-12
2025-12-12 14:55:17.855251,RedGreen_Cont_CE,NIFTY25D1626050CE,1275,892.5,616.06,78.25,78.95,Momentum Loss (0.64% profit),BULLISH,2.855251,79.2,0.0,0.0,Paper Trading,2025-12-12
2025-12-12 14:55:13.390887,RedGreen_Cont_CE,NIFTY25D1626000CE,900,225.0,-40.58,106.1,106.35,Momentum Loss (0.24% profit),BULLISH,5.390887,107.0,0.0,0.0,Paper Trading,2025-12-12
